,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,3
65,0
66,0
67,1
68,2
69,4
70,3
71,1
72,4
73,6
74,10
75,12
76,16
77,15
78,26
79,28
80,41
81,38
82,54
83,57
84,86
85,82
86,105
87,148
88,185
89,225
90,266
91,310
92,406
93,467
94,586
95,622
96,870
97,1014
98,1195
99,1375
100,1737
