,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,2
44,1
45,0
46,5
47,6
48,3
49,4
50,4
51,13
52,10
53,9
54,10
55,15
56,22
57,24
58,26
59,30
60,37
61,39
62,53
63,47
64,38
65,57
66,74
67,68
68,83
69,81
70,96
71,100
72,104
73,129
74,121
75,166
76,178
77,154
78,180
79,175
80,196
81,220
82,238
83,258
84,256
85,310
86,292
87,329
88,353
89,346
90,381
91,394
92,432
93,411
94,434
95,447
96,456
97,513
98,502
99,533
100,534
