,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,5
35,1
36,2
37,8
38,8
39,10
40,13
41,20
42,22
43,25
44,23
45,23
46,29
47,27
48,37
49,39
50,51
51,39
52,49
53,46
54,54
55,34
56,35
57,39
58,30
59,31
60,23
61,22
62,23
63,17
64,22
65,15
66,24
67,14
68,32
69,20
70,17
71,21
72,12
73,13
74,8
75,5
76,5
77,2
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
